id,name,category,category_name,target,source,severity,mitre_id,mitre_name,tactic,kill_chain,volume,rule
D5,Kubernetes Secret Theft,data,Data-Focused Attacks,healthcare-api,falco,10,T1552.007,Container API,Credential Access,exploitation,low,K8s Secret Theft
D6,MQTT Message Replay,data,Data-Focused Attacks,mqtt-broker,suricata,7,T1557,Adversary-in-the-Middle,Collection,exploitation,medium,MQTT Message Replay
D7,Log Tampering,data,Data-Focused Attacks,healthcare-api,falco,8,T1070.002,Clear Linux or Mac System Logs,Defense Evasion,actions_on_objectives,low,Log Tampering
D8,FHIR Bundle Injection,data,Data-Focused Attacks,healthcare-api,falco,9,T1565.001,Stored Data Manipulation,Impact,actions_on_objectives,low,FHIR Bundle Injection
I1,MQTT Unauthorized Publish,iot_protocol,IoT Protocol-Specific,mqtt-broker,suricata,8,T1565.002,Transmitted Data Manipulation,Impact,actions_on_objectives,medium,MQTT Unauthorized Publish
I10,FHIR Resource Deletion,iot_protocol,IoT Protocol-Specific,healthcare-api,falco,9,T1485,Data Destruction,Impact,actions_on_objectives,low,FHIR Resource Deletion
I2,MQTT Retained Message Poisoning,iot_protocol,IoT Protocol-Specific,mqtt-broker,suricata,8,T1565.002,Transmitted Data Manipulation,Impact,actions_on_objectives,low,MQTT Retained Poisoning
I3,MQTT Client ID Spoofing,iot_protocol,IoT Protocol-Specific,mqtt-broker,suricata,7,T1550,Use Alternate Authentication Material,Defense Evasion,exploitation,low,MQTT Client ID Spoofing
I4,CoAP Observe Flood,iot_protocol,IoT Protocol-Specific,parking-system,suricata,7,T1499,Endpoint Denial of Service,Impact,actions_on_objectives,high,CoAP Observe Flood
I5,Modbus Coil Write Attack,iot_protocol,IoT Protocol-Specific,env-sensor,falco,9,T0831,Manipulation of Control,Impact,actions_on_objectives,low,Modbus Coil Write
I6,Modbus Function Code Scan,iot_protocol,IoT Protocol-Specific,env-sensor,suricata,6,T1046,Network Service Discovery,Discovery,reconnaissance,high,Modbus Function Scan
I7,OPC UA Session Hijacking,iot_protocol,IoT Protocol-Specific,env-sensor,falco,8,T1563,Remote Service Session Hijacking,Lateral Movement,exploitation,low,OPC UA Session Hijacking
I8,DALI-2 Dimming Attack,iot_protocol,IoT Protocol-Specific,street-lighting,falco,7,T0831,Manipulation of Control,Impact,actions_on_objectives,low,DALI Dimming Attack
I9,ONVIF Stream Hijacking,iot_protocol,IoT Protocol-Specific,traffic-camera,falco,8,T0830,Adversary-in-the-Middle,Collection,exploitation,low,ONVIF Stream Hijacking
L1,Internal Network Scan,lateral,Lateral Movement & Persistence,traffic-camera,suricata,7,T1046,Network Service Discovery,Discovery,reconnaissance,high,ET SCAN Internal Network Scan
L2,Service Discovery (DNS),lateral,Lateral Movement & Persistence,parking-system,falco,6,T1046,Network Service Discovery,Discovery,reconnaissance,low,Internal Service Discovery
L3,Pod-to-Pod Credential Relay,lateral,Lateral Movement & Persistence,healthcare-api,falco,8,T1550.001,Application Access Token,Lateral Movement,command_and_control,low,Pod-to-Pod Credential Relay
L4,CronJob Persistence,lateral,Lateral Movement & Persistence,healthcare-api,falco,8,T1053.003,Cron,Persistence,installation,low,CronJob Persistence
L5,Web Shell Upload,lateral,Lateral Movement & Persistence,traffic-camera,falco,8,T1505.003,Web Shell,Persistence,installation,low,Web Shell Upload
L6,DNS Hijacking for C2,lateral,Lateral Movement & Persistence,env-sensor,falco,7,T1557.002,ARP Cache Poisoning,Command and Control,command_and_control,low,DNS Hijacking C2
N1,TCP SYN Flood,network,Network-Based Attacks,traffic-camera,suricata,9,T1498.001,Direct Network Flood,Impact,actions_on_objectives,high,ET DOS Possible TCP SYN Flood
N10,TCP RST Injection,network,Network-Based Attacks,healthcare-api,suricata,8,T1565.002,Transmitted Data Manipulation,Impact,actions_on_objectives,low,ET POLICY TCP RST Injection
N11,ARP Spoofing (Simulated),network,Network-Based Attacks,parking-system,falco,7,T1557.002,ARP Cache Poisoning,Credential Access,exploitation,low,ARP Spoofing Detected
N12,VLAN Hopping,network,Network-Based Attacks,street-lighting,falco,6,T1599.001,Network Boundary Bridging,Defense Evasion,exploitation,low,VLAN Hopping Attempt
N13,MQTT Subscribe Flood,network,Network-Based Attacks,mqtt-broker,suricata,7,T1499,Endpoint Denial of Service,Impact,actions_on_objectives,high,ET DOS MQTT Subscribe Flood
N14,CoAP Amplification,network,Network-Based Attacks,parking-system,suricata,7,T1498.002,Reflection Amplification,Impact,actions_on_objectives,high,ET DOS CoAP Amplification
N15,OPC UA Discovery Flood,network,Network-Based Attacks,env-sensor,suricata,6,T1046,Network Service Discovery,Discovery,reconnaissance,high,ET SCAN OPC UA Discovery Flood
N2,UDP Amplification (NTP),network,Network-Based Attacks,traffic-camera,suricata,9,T1498.002,Reflection Amplification,Impact,actions_on_objectives,high,ET DOS Possible NTP DDoS Amplification
N3,DNS Amplification,network,Network-Based Attacks,mqtt-broker,suricata,8,T1498.002,Reflection Amplification,Impact,actions_on_objectives,high,ET DOS DNS Amplification
N4,SSDP Reflection,network,Network-Based Attacks,env-sensor,suricata,7,T1498.002,Reflection Amplification,Impact,actions_on_objectives,high,ET DOS SSDP Reflection
N5,Slowloris HTTP,network,Network-Based Attacks,healthcare-api,suricata,8,T1499.002,Service Exhaustion Flood,Impact,actions_on_objectives,medium,ET DOS Slowloris HTTP DoS
N6,Slow POST,network,Network-Based Attacks,parking-system,suricata,7,T1499.002,Service Exhaustion Flood,Impact,actions_on_objectives,medium,ET DOS Slow POST Attack
N7,Connection Exhaustion,network,Network-Based Attacks,mqtt-broker,suricata,8,T1499.002,Service Exhaustion Flood,Impact,actions_on_objectives,high,ET DOS Connection Exhaustion
N8,ICMP Flood,network,Network-Based Attacks,traffic-camera,suricata,6,T1498.001,Direct Network Flood,Impact,actions_on_objectives,high,ET DOS ICMP Flood
N9,IP Fragmentation Attack,network,Network-Based Attacks,traffic-camera,suricata,7,T1498.001,Direct Network Flood,Impact,actions_on_objectives,medium,ET DOS IP Fragmentation Overlap
S1,Brute Force Login,authentication,Authentication & Session,healthcare-api,falco,8,T1110.001,Password Guessing,Credential Access,exploitation,high,Brute Force Login Attempts
S2,Credential Stuffing,authentication,Authentication & Session,parking-system,falco,7,T1110.004,Credential Stuffing,Credential Access,exploitation,high,Credential Stuffing Attack
S3,JWT None Algorithm,authentication,Authentication & Session,healthcare-api,falco,9,T1550.001,Application Access Token,Defense Evasion,exploitation,low,JWT Algorithm Bypass
S4,Default Credentials,authentication,Authentication & Session,mqtt-broker,falco,8,T1078.001,Default Accounts,Initial Access,delivery,medium,Default Credentials Used
S5,Password Spraying,authentication,Authentication & Session,healthcare-api,falco,7,T1110.003,Password Spraying,Credential Access,exploitation,medium,Password Spraying
S6,Privilege Escalation (Vertical),authentication,Authentication & Session,parking-system,falco,9,T1548,Abuse Elevation Control Mechanism,Privilege Escalation,exploitation,low,Privilege Escalation Vertical
S7,OAuth Token Theft,authentication,Authentication & Session,healthcare-api,falco,8,T1528,Steal Application Access Token,Credential Access,exploitation,low,OAuth Token Theft
S8,Session Hijacking,authentication,Authentication & Session,healthcare-api,falco,8,T1563,Remote Service Session Hijacking,Lateral Movement,exploitation,low,Session Hijacking
